cancer_type	perc_diploid	nb_clones	nb_mut	nb_sig	min_dist	max_dist	avg_dist	avg_major_cn	actual_perc_diploid	avg_tot_cn	index	bic	aic	aicc	icl_q	icl_qn	bic_alt	sh_4	sh_5	sh_6	sh_7	sh_8	sh_9	sh_10	max_curvature	ll_1	ll_2	ll_3	ll_4	ll_5	ll_6	ll_7	ll_8	ll_9	ll_10	timestamp
0	0	1	100	65				2.24	0.0	3.26	0	1	1	2	1	1	1	2	1	2	5	5	5	5	5	-823.8303266721199	-822.15112092354	-822.4467847932109	-821.7835128302503	-819.7102841329486	-821.7637513968148	-821.8049410469133	-819.7242098252209	-819.6743802419335	-819.4041830527287	1559082607.3448403
0	0	1	100	19				2.24	0.0	3.26	0	1	1	5	1	1	1	2	2	2	2	2	2	5	2	-841.636401527993	-839.8934424126847	-839.8716452905168	-839.8683072743677	-838.9003570035102	-838.9005754934323	-838.8167688799757	-838.7766505461842	-838.7751295516499	-838.8270206190796	1559082607.3448403
0	20	1	100	65				1.97	0.21	3.14	0	1	1	2	1	1	1	2	2	2	2	2	5	5	2	-771.5433490432159	-765.9071700710443	-765.5808476094091	-765.1842029067299	-764.2816788378083	-764.3537476369983	-764.2379173206868	-764.23578167679	-764.2688618478971	-764.3015553244127	1559082391.2384608
0	20	1	100	19				1.97	0.21	3.14	0	1	1	5	1	1	1	2	2	2	4	4	4	4	2	-776.6807453269286	-773.1669845138423	-773.0820201759714	-772.1069041014342	-772.1040635724036	-772.1082182971695	-771.9861609395385	-771.9654903961224	-771.9717308973472	-771.8064042645781	1559082391.2384608
0	40	1	100	65				1.61	0.49	2.64	0	1	1	2	1	1	1	2	2	2	2	2	6	6	3	-800.4724199607184	-798.2971726058138	-800.7409131835158	-798.2306050248143	-797.9081270339727	-797.8177805454138	-797.916560774234	-797.8349772910698	-797.8522060340738	-797.8380464297059	1559082268.5531054
0	40	1	100	19				1.61	0.49	2.64	0	1	1	5	1	1	1	2	2	4	4	6	6	6	2	-803.0839103326709	-802.1539255318913	-802.0248636886843	-801.7911091672883	-801.7676075557501	-801.7542358197724	-801.7558202633444	-801.7735246919351	-801.7657208325846	-801.7977133398751	1559082268.5531054
0	60	1	100	65				1.43	0.67	2.46	0	1	1	2	1	1	1	2	2	2	4	6	6	6	2	-802.3702382538803	-800.7849293841914	-800.6771008879902	-800.5207800600673	-800.5202709935907	-800.4374039601711	-800.4699046648883	-800.4888294373179	-800.4837999699637	-800.5091164497675	1559083539.4824088
0	60	1	100	19				1.43	0.67	2.46	0	1	1	5	1	1	1	2	2	2	2	6	6	5	2	-804.8453595874353	-804.0901918400654	-804.0894827581758	-804.0409141102248	-804.0253506331409	-804.0196203789047	-804.0272427133223	-804.0314994015962	-804.0310076141818	-804.0053792704973	1559083539.4824088
0	80	1	100	65				1.18	0.84	2.2	0	1	1	2	1	1	1	2	3	5	5	5	5	5	2	-797.9615135925568	-792.6151078020569	-791.4157578403967	-790.996622390664	-790.7706662670688	-790.9857756239591	-790.776539413564	-790.8356043632408	-791.0646607423689	-791.3021905048291	1559082054.4150553
0	80	1	100	19				1.18	0.84	2.2	0	1	1	5	1	1	1	2	2	2	5	5	5	5	2	-803.5607678941885	-801.0417529105321	-801.0147744807142	-800.8515081903203	-800.7975255677594	-800.8188901080556	-800.8028563407149	-800.8000308070714	-800.8423669066783	-800.8128587778294	1559082054.4150553
0	100	1	100	65				1.0	1.0	2.0	0	1	1	2	1	1	1	1	3	3	3	6	6	6	2	-733.1162304725417	-727.5863174273637	-724.813952012132	-724.5058662299667	-724.4053422095444	-724.2938754423762	-724.3449357618761	-724.4929853867881	-724.5215131726262	-724.4012728580392	1559081562.9817426
0	100	1	100	19				1.0	1.0	2.0	0	1	1	5	1	1	1	2	3	3	3	6	6	6	2	-743.6225920009442	-740.4370108462416	-739.1958651651584	-739.1868526590903	-739.1396437994141	-739.1387025173398	-739.140358346087	-739.1509903696917	-739.1491055190843	-739.1425595863135	1559081562.9817426
0	0	1	300	65				2.283333333333333	0.0	3.4166666666666665	0	1	1	5	1	1	1	2	2	4	6	6	6	6	2	-2514.5484803196373	-2509.552227409672	-2508.829424426651	-2508.2243271713933	-2508.244361962325	-2508.0274825764027	-2508.3173431720747	-2508.162012485192	-2508.043698936959	-2509.082784875163	1559083368.4083357
