nb_mut	nb_clones	cancer_type	nb_sig_subMU	seed	perc_dip	loglikelihood_MU	loglikelihood_nopi_MU	loglikelihood_subMU	loglikelihood_nopi_subMU	timestamp
100	2	0	19	1	0.0	-830.2553100952404	-834.4259122777828	-839.0556574016551	-841.8553178979738	1560202952.700121
100	2	0	19	2	0.2	-802.0930444511367	-806.4517165718381	-813.6621660508375	-815.3717806261197	1560202946.0140626
100	2	0	19	3	0.4	-810.9618546904235	-815.5531778829886	-815.5671490972898	-818.4783990990458	1560202939.4636512
100	2	0	19	4	0.6	-805.4434400188795	-814.516245730514	-816.1373457663852	-820.6150615702687	1560202939.9864311
100	2	0	19	5	0.8	-813.8709403155556	-824.4017476672823	-826.4017733098718	-830.6352485163139	1560202935.1952093
100	2	0	19	6	1.0	-717.9520018317438	-722.0460075920633	-724.0440078564387	-725.8882462697023	1560202925.1985455
100	2	1	8	7	0.0	-851.6162475087053	-856.7121948701323	-859.4948611003723	-861.8794058287224	1560202944.9995794
100	2	1	8	8	0.2	-794.5411893992392	-802.166648576215	-811.3318917328845	-812.890083891283	1560202935.8890471
100	2	1	8	9	0.4	-782.7178174059799	-784.3336294135698	-789.5011033912682	-790.1210074458229	1560202938.8722036
100	2	1	8	10	0.6	-787.3400521924063	-794.1923597116141	-795.7531157799903	-798.6230188085144	1560202928.790384
100	2	1	8	11	0.8	-762.2400473398575	-766.4456168187062	-772.3914187187503	-774.6071042384378	1560202954.5011547
100	2	1	8	12	1.0	-817.1573404545182	-823.611409280839	-828.4340133530147	-829.4668575371804	1560202923.7201335
100	2	2	6	13	0.0	-812.3847810204793	-818.5440226208716	-828.6152651639421	-829.1213668058642	1560202953.4842806
100	2	2	6	14	0.2	-672.9361034438803	-677.6803579667605	-683.6574647062782	-684.5504408618249	1560202930.4692013
100	2	2	6	15	0.4	-724.8959053847158	-727.8459473003055	-734.3180377718173	-735.1336185647485	1560202956.3124623
100	2	2	6	16	0.6	-712.5490887936894	-719.0825439333368	-727.9615709535698	-730.1711939329426	1560202932.2007134
100	2	2	6	17	0.8	-668.452307495064	-673.8051443972233	-680.3940929471144	-681.652207775287	1560202926.7889335
100	2	2	6	18	1.0	-793.1038376844926	-798.4596811606474	-808.5466683693477	-809.9394663523849	1560202932.8695073
100	2	3	8	19	0.0	-773.0258464818784	-778.2583614342321	-776.7165026673556	-780.3701800161313	1560202956.5007515
100	2	3	8	20	0.2	-805.5767862262013	-811.103608297449	-815.3693846352313	-818.0383541103728	1560202941.7210479
100	2	3	8	21	0.4	-804.3971061997495	-814.8851961737389	-820.6238784692879	-824.2558021606751	1560202951.383776
100	2	3	8	22	0.6	-715.5762158845376	-720.7844806314032	-722.8970668438382	-726.2526015427162	1560202924.8744009
