tumor	depth	nb_mut	true_nb_clones	true_purity	perc_dip	fitted_nb_clones	ll_ratio	pval	score1B	score1C	score2A	score2C_auc	score2C_accuracy	score2C_sensitivity	score2C_specificity	score2C_precision	score_sig_1A	score_sig_1B	score_sig_1C_auc	score_sig_1C_accuracy	score_sig_1C_sensitivity	score_sig_1C_specificity	score_sig_1C_precision	min_diff_distrib_mut	max_diff_distrib_mut	std_diff_distrib_mut	median_diff_distrib_mut	perc_dist_5	perc_dist_10	runtime	method	setting
T2	8X	578	3	0.55	0.8371769437716794	7.0			0.0	0.9224825627399844	0.02957542720468968	0.5100624902965378	0.7908611599297012	0.04424778761061947	0.975877192982456	0.04424778761061947														916.0	pyclone	
T2	8X	578	3	0.55	0.8371769437716794	5.0			0.5	0.505272721446469	0.02520289854536842	0.4988646949231486	0.20210896309314588	0.991150442477876	0.006578947368421052	0.991150442477876														140.0	sciclone	
T2	8X	578	3	0.55	0.8371769437716794	1.0			0.5	0.9167034602076124	0.0388669693022785	0.5	0.8014059753954306	0.0	1.0	0.0														177.0	ccube	
T2	8X	578	3	0.55	0.8371769437716794	1.0			0.5	0.9127204971593798	0.0388669693022785	0.5	0.8014059753954306	0.0	1.0	0.0														354.0	dpclust	
T2	8X	578	3	0.55	0.8371769437716794	1.0			0.5	0.9167034602076124	0.0388669693022785	0.5	0.8014059753954306	0.0	1.0	0.0														178.0	phylogicndt	
T2	8X	578	3	0.55	0.8371769437716794	1.0		0.9999997741053384	0.5	0.9166974740484428	0.0388669693022785	0.5	0.8014059753954306	0.0	1.0	0.0	0.057666285197574225	0.014186721119830097	1.0	0.9629629629629628	0.6666666666666666	0.96	0.5	0.0007858651656542648	0.0007858651656542648	0.0	0.0007858651656542648	1.0	1.0	8.356508493423464	clonesig	all
T2	8X	578	3	0.55	0.8371769437716794	1.0			0.5	0.9166974740484428	0.0388669693022785	0.5	0.8014059753954306	0.0	1.0	0.0	0.05762238264589235	0.01412110111576026	1.0	0.9629629629629628	0.6666666666666666	0.96	0.5	0.0007966917799858697	0.0007966917799858697	0.0	0.0007966917799858697	1.0	1.0	6.6236114501953125	clonesig	cancertype
T2	8X	578	3	0.55	0.8371769437716794	1.0			0.5	0.9166974740484428	0.0388669693022785	0.5	0.8014059753954306	0.0	1.0	0.0	0.05745489095611641	0.0141908717258658	1.0	0.9629629629629628	0.6666666666666666	0.96	0.5	0.0008125039554024438	0.0008125039554024438	0.0	0.0008125039554024438	1.0	1.0	7.975692749023437	clonesig	prefit
T2	8X	578	3	0.55	0.8371769437716794												0.05786778589649898	0.028723448386038138	0.75	0.9629629629629628	0.3333333333333333	1.0	0.5	0.005796421436402578	0.005796421436402578	0.0	0.005796421436402578	1.0	1.0	0.330517768859863	deconstructsigs	all
T2	8X	578	3	0.55	0.8371769437716794												0.05820560976259601	0.02941762620999725	0.75	0.9629629629629628	0.3333333333333333	1.0	0.5	0.005796421436402578	0.005796421436402578	0.0	0.005796421436402578	1.0	1.0	0.0726790428161621	deconstructsigs	cancertype
